Natural Resources & Construction,99.8,92.7,92.1,96.3,98.8,97.3,81.4,74.1,73.7,77.5,85.0,95.3,100.1,102.7,107.6,4.7%,,,,,,,,,,,,,,,,,,,,,,,
Manufacturing,95.6,91.0,90.6,91.1,89.5,87.4,78.5,76.4,78.1,79.8,81.1,82.9,85.6,86.6,87.5,1.0%,,,,,,,,,,,,,,,,,,,,,,,
Wholesale & Retail Trade,208.7,204.0,203.7,208.3,215.4,215.6,203.2,201.9,205.0,209.4,214.8,221.0,227.5,231.7,234.0,1.0%,,,,,,,,,,,,,,,,,,,,,,,
"Transp., Warehousing & Utilities",51.0,50.9,51.1,50.9,52.5,52.6,49.5,47.7,47.4,48.8,51.3,53.1,54.5,55.8,58.0,4.0%,,,,,,,,,,,,,,,,,,,,,,,
Information,69.8,64.3,60.9,57.3,57.2,56.2,53.7,52.5,52.5,52.0,52.8,53.5,54.0,54.7,55.3,1.1%,,,,,,,,,,,,,,,,,,,,,,,
Financial Activities,102.1,105.6,105.5,107.1,107.3,104.9,100.2,98.0,97.8,99.8,103.4,105.3,109.5,113.1,115.6,2.2%,,,,,,,,,,,,,,,,,,,,,,,
Professional & Business Services,207.8,205.2,212.4,220.4,242.5,247.7,232.3,232.7,241.8,254.1,265.1,275.5,285.3,291.8,298.1,2.2%,,,,,,,,,,,,,,,,,,,,,,,
Education & Health Services,125.6,128.9,133.1,137.3,146.9,153.3,157.9,162.6,168.5,174.7,182.0,190.7,200.8,207.1,209.8,1.3%,,,,,,,,,,,,,,,,,,,,,,,
Leisure & Hospitality,131.3,130.5,133.9,137.9,145.6,147.7,142.7,144.5,149.2,154.3,160.4,167.4,175.2,182.1,187.4,2.9%,,,,,,,,,,,,,,,,,,,,,,,
Other Services,49.3,49.1,50.0,50.2,52.3,53.7,52.7,52.7,53.6,55.1,56.3,58.4,59.9,62.0,62.8,1.3%,,,,,,,,,,,,,,,,,,,,,,,
Government,191.8,192.3,191.9,193.3,199.3,204.5,207.5,210.1,210.4,212.2,216.1,219.6,225.7,231.6,234.4,1.2%,,,,,,,,,,,,,,,,,,,,,,,
  Federal Gov't,32.2,32.4,31.8,31.4,30.6,30.4,30.6,31.5,30.6,30.3,30.0,29.7,30.3,30.7,30.7,-0.2%,,,,,,,,,,,,,,,,,,,,,,,
  State Gov't,45.0,43.6,43.8,44.2,45.9,47.6,49.5,51.2,52.8,53.7,55.2,56.1,58.1,60.3,62.9,4.3%,,,,,,,,,,,,,,,,,,,,,,,
  Local Gov't,114.7,116.3,116.3,117.7,122.8,126.5,127.5,127.4,127.0,128.1,131.0,133.8,137.4,140.5,140.8,0.2%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Metro Denver,"1,332.9","1,314.4","1,325.1","1,350.2","1,407.2","1,420.7","1,359.5","1,353.1","1,378.0","1,417.6","1,468.2","1,522.7","1,578.1","1,619.2","1,650.5",,,,,,,,,,,,,,,,,,,,,,,,
   Percentage Change,-3.1%,-1.4%,0.8%,1.9%,2.1%,1.0%,-4.3%,-0.5%,1.8%,2.9%,3.6%,3.7%,3.6%,2.6%,1.9%,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,"2,184.2","2,152.8","2,179.6","2,226.0","2,330.7","2,349.7","2,244.9","2,221.5","2,257.8","2,312.2","2,381.1","2,464.2","2,541.7","2,602.4","2,658.6",,,,,,,,,,,,,,,,,,,,,,,,
United States,"130,649","130,347","131,787","134,051","137,999","137,241","131,313","130,362","131,932","134,175","136,381","138,958","141,843","144,352","146,624",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
